Date,Open,High,Low,Close,Adj. Close,Volume
"Dec 08, 2023",145.48,147.84,145.40,147.42,147.42,"41,858,000"
"Dec 07, 2023",146.15,147.92,145.34,146.88,146.88,"52,352,800"
"Dec 06, 2023",147.58,147.85,144.28,144.52,144.52,"39,679,000"
"Dec 05, 2023",143.55,148.57,143.13,146.88,146.88,"46,822,400"
"Dec 04, 2023",145.25,145.35,142.81,144.84,144.84,"48,294,200"
"Dec 01, 2023",146.00,147.25,145.55,147.03,147.03,"39,924,600"
"Nov 30, 2023",144.76,146.93,144.33,146.09,146.09,"65,814,000"
"Nov 29, 2023",147.85,148.54,145.97,146.32,146.32,"40,610,900"
"Nov 28, 2023",146.98,147.60,145.53,147.03,147.03,"42,711,700"
"Nov 27, 2023",147.53,149.26,146.88,147.73,147.73,"53,762,400"
"Nov 24, 2023",146.70,147.20,145.32,146.74,146.74,"22,378,400"
"Nov 22, 2023",144.57,147.74,144.57,146.71,146.71,"45,669,100"
"Nov 21, 2023",143.91,144.05,141.50,143.90,143.90,"71,226,000"
"Nov 20, 2023",145.13,146.63,144.73,146.13,146.13,"41,951,200"
"Nov 17, 2023",142.66,145.23,142.54,145.18,145.18,"49,636,700"
"Nov 16, 2023",140.91,143.32,139.52,142.83,142.83,"49,653,500"
"Nov 15, 2023",147.06,147.29,142.59,143.20,143.20,"63,875,700"
"Nov 14, 2023",145.00,147.26,144.68,145.80,145.80,"56,674,600"
"Nov 13, 2023",142.08,143.23,140.67,142.59,142.59,"35,680,600"
"Nov 10, 2023",140.46,143.65,139.91,143.56,143.56,"49,287,800"
"Nov 09, 2023",142.02,142.65,139.84,140.60,140.60,"36,235,400"
"Nov 08, 2023",142.97,143.12,141.22,142.08,142.08,"44,521,700"
"Nov 07, 2023",140.55,143.37,140.50,142.71,142.71,"53,553,500"
"Nov 06, 2023",138.76,140.73,138.36,139.74,139.74,"44,970,400"
"Nov 03, 2023",138.99,139.49,137.45,138.60,138.60,"44,007,200"
"Nov 02, 2023",138.73,138.81,136.47,138.07,138.07,"52,236,700"
"Nov 01, 2023",133.96,137.35,133.71,137.00,137.00,"61,529,400"
"Oct 31, 2023",132.75,133.57,131.71,133.09,133.09,"51,589,400"
"Oct 30, 2023",129.72,133.00,128.56,132.71,132.71,"72,485,500"
"Oct 27, 2023",126.20,130.02,125.52,127.74,127.74,"125,309,300"
"Oct 26, 2023",120.63,121.64,118.35,119.57,119.57,"100,419,500"
"Oct 25, 2023",126.04,126.34,120.79,121.39,121.39,"74,577,500"
"Oct 24, 2023",127.74,128.80,126.34,128.56,128.56,"46,477,400"
"Oct 23, 2023",124.63,127.88,123.98,126.56,126.56,"48,260,000"
"Oct 20, 2023",128.05,128.17,124.97,125.17,125.17,"56,343,300"
"Oct 19, 2023",130.57,132.24,127.47,128.40,128.40,"60,961,400"
"Oct 18, 2023",129.90,130.67,127.51,128.13,128.13,"42,699,500"
"Oct 17, 2023",130.39,132.58,128.71,131.47,131.47,"49,344,600"
"Oct 16, 2023",130.69,133.07,130.43,132.55,132.55,"42,832,900"
"Oct 13, 2023",132.98,133.31,128.95,129.79,129.79,"45,786,600"
"Oct 12, 2023",132.17,134.48,131.23,132.33,132.33,"55,528,600"
"Oct 11, 2023",129.74,132.05,129.61,131.83,131.83,"40,741,800"
"Oct 10, 2023",128.82,130.74,128.05,129.48,129.48,"42,178,600"
"Oct 09, 2023",126.22,128.79,124.76,128.26,128.26,"38,773,700"
"Oct 06, 2023",124.16,128.45,124.13,127.96,127.96,"46,795,900"
"Oct 05, 2023",126.71,126.73,124.33,125.96,125.96,"39,660,600"
"Oct 04, 2023",126.06,127.36,125.68,127.00,127.00,"44,203,900"
"Oct 03, 2023",128.06,128.52,124.25,124.72,124.72,"51,565,000"
"Oct 02, 2023",127.28,130.47,126.54,129.46,129.46,"48,029,700"
"Sep 29, 2023",128.20,129.15,126.32,127.12,127.12,"62,377,600"
"Sep 28, 2023",124.04,126.58,123.04,125.98,125.98,"54,555,000"
"Sep 27, 2023",125.76,127.48,124.13,125.98,125.98,"66,553,400"
"Sep 26, 2023",130.12,130.39,125.28,125.98,125.98,"73,048,200"
"Sep 25, 2023",129.36,131.78,128.77,131.27,131.27,"46,017,800"
"Sep 22, 2023",131.11,132.03,128.52,129.12,129.12,"59,904,300"
"Sep 21, 2023",131.94,132.24,129.31,129.33,129.33,"70,234,800"
"Sep 20, 2023",138.55,139.37,135.20,135.29,135.29,"46,263,700"
"Sep 19, 2023",138.70,138.84,135.56,137.63,137.63,"61,482,500"
"Sep 18, 2023",140.48,141.75,139.22,139.98,139.98,"42,823,500"
"Sep 15, 2023",142.69,143.57,140.09,140.39,140.39,"102,861,700"
"Sep 14, 2023",145.08,145.86,142.95,144.72,144.72,"64,033,600"
"Sep 13, 2023",140.95,144.98,140.87,144.85,144.85,"60,465,200"
"Sep 12, 2023",142.32,143.00,140.61,141.23,141.23,"42,668,500"
"Sep 11, 2023",138.75,143.62,138.64,143.10,143.10,"56,764,500"
"Sep 08, 2023",136.86,138.85,136.75,138.23,138.23,"38,348,200"
"Sep 07, 2023",133.90,138.03,133.16,137.85,137.85,"48,498,900"
"Sep 06, 2023",136.32,137.45,134.61,135.36,135.36,"41,785,500"
"Sep 05, 2023",137.73,137.80,135.82,137.27,137.27,"40,636,700"
"Sep 01, 2023",139.46,139.96,136.88,138.12,138.12,"40,948,300"
"Aug 31, 2023",135.06,138.79,135.00,138.01,138.01,"58,781,300"
"Aug 30, 2023",134.93,135.68,133.92,135.07,135.07,"36,137,000"
"Aug 29, 2023",133.38,135.14,133.25,134.91,134.91,"38,646,100"
"Aug 28, 2023",133.78,133.95,131.85,133.14,133.14,"34,108,400"
"Aug 25, 2023",132.47,133.87,130.58,133.26,133.26,"44,147,500"
"Aug 24, 2023",136.40,136.78,131.83,131.84,131.84,"43,646,300"
"Aug 23, 2023",134.50,135.95,133.22,135.52,135.52,"42,801,000"
"Aug 22, 2023",135.08,135.65,133.73,134.25,134.25,"32,935,100"
"Aug 21, 2023",133.74,135.19,132.71,134.68,134.68,"41,442,500"
"Aug 18, 2023",131.62,134.07,131.15,133.22,133.22,"48,469,400"
"Aug 17, 2023",135.46,136.09,133.53,133.98,133.98,"48,354,100"
"Aug 16, 2023",137.19,137.27,135.01,135.07,135.07,"41,675,900"
"Aug 15, 2023",140.05,141.28,137.23,137.67,137.67,"42,781,500"
"Aug 14, 2023",138.30,140.59,137.75,140.57,140.57,"47,148,700"
"Aug 11, 2023",137.40,139.33,137.00,138.41,138.41,"42,832,100"
"Aug 10, 2023",139.07,140.41,137.49,138.56,138.56,"58,928,400"
"Aug 09, 2023",139.97,140.32,137.10,137.85,137.85,"50,017,300"
"Aug 08, 2023",140.62,140.84,138.42,139.94,139.94,"51,710,500"
"Aug 07, 2023",140.99,142.54,138.95,142.22,142.22,"71,213,100"
"Aug 04, 2023",141.06,143.63,139.32,139.57,139.57,"152,938,700"
"Aug 03, 2023",127.48,129.84,126.41,128.91,128.91,"88,585,200"
"Aug 02, 2023",130.15,130.23,126.82,128.21,128.21,"51,027,600"
"Aug 01, 2023",133.55,133.69,131.62,131.69,131.69,"42,098,500"
"Jul 31, 2023",133.20,133.87,132.38,133.68,133.68,"41,901,500"
"Jul 28, 2023",129.69,133.01,129.33,132.21,132.21,"46,317,400"
"Jul 27, 2023",131.00,132.63,127.79,128.25,128.25,"52,610,700"
