Date,Open,High,Low,Close,Adj. Close,Volume
"Dec 08, 2023",135.66,137.99,135.57,136.64,136.64,"22,990,900"
"Dec 07, 2023",136.60,140.00,136.23,138.45,138.45,"38,419,400"
"Dec 06, 2023",132.90,133.31,131.31,131.43,131.43,"16,360,600"
"Dec 05, 2023",130.37,133.54,129.73,132.39,132.39,"19,235,100"
"Dec 04, 2023",131.29,131.45,129.40,130.63,130.63,"24,117,100"
"Dec 01, 2023",133.32,133.50,132.15,133.32,133.32,"24,258,400"
"Nov 30, 2023",136.40,136.96,132.79,133.92,133.92,"29,913,500"
"Nov 29, 2023",138.99,139.67,136.29,136.40,136.40,"21,014,700"
"Nov 28, 2023",137.63,138.66,137.04,138.62,138.62,"17,046,900"
"Nov 27, 2023",137.57,139.63,137.54,138.05,138.05,"17,886,400"
"Nov 24, 2023",139.54,139.68,137.47,138.22,138.22,"8,828,600"
"Nov 22, 2023",139.10,141.10,139.00,140.02,140.02,"17,306,400"
"Nov 21, 2023",137.94,138.96,137.71,138.62,138.62,"17,648,100"
"Nov 20, 2023",135.50,138.43,135.49,137.92,137.92,"19,569,400"
"Nov 17, 2023",137.82,138.00,135.48,136.94,136.94,"25,565,300"
"Nov 16, 2023",136.96,138.88,136.08,138.70,138.70,"17,615,100"
"Nov 15, 2023",136.64,136.84,135.33,136.38,136.38,"15,840,900"
"Nov 14, 2023",135.65,137.24,135.10,135.43,135.43,"22,317,300"
"Nov 13, 2023",133.36,134.11,132.77,133.64,133.64,"16,409,900"
"Nov 10, 2023",131.53,134.27,130.87,134.06,134.06,"20,872,900"
"Nov 09, 2023",133.36,133.96,131.51,131.69,131.69,"17,976,500"
"Nov 08, 2023",132.36,133.54,132.16,133.26,133.26,"15,093,600"
"Nov 07, 2023",131.98,133.28,131.14,132.40,132.40,"19,223,800"
"Nov 06, 2023",130.22,131.56,129.93,131.45,131.45,"15,360,400"
"Nov 03, 2023",129.09,130.73,129.01,130.37,130.37,"19,517,900"
"Nov 02, 2023",129.56,130.09,128.11,128.58,128.58,"24,091,700"
"Nov 01, 2023",125.34,127.74,124.93,127.57,127.57,"26,536,600"
"Oct 31, 2023",126.27,126.56,123.93,125.30,125.30,"21,123,400"
"Oct 30, 2023",124.46,126.55,123.88,125.75,125.75,"24,165,600"
"Oct 27, 2023",124.03,124.44,121.46,123.40,123.40,"37,367,700"
"Oct 26, 2023",124.47,125.46,122.32,123.44,123.44,"33,907,400"
"Oct 25, 2023",129.77,130.10,126.09,126.67,126.67,"58,796,100"
"Oct 24, 2023",139.16,140.71,138.75,140.12,140.12,"26,535,200"
"Oct 23, 2023",136.23,139.02,135.11,137.90,137.90,"20,780,700"
"Oct 20, 2023",138.59,139.04,136.24,136.74,136.74,"24,953,900"
"Oct 19, 2023",139.80,141.01,138.60,138.98,138.98,"21,831,200"
"Oct 18, 2023",140.75,141.99,138.71,139.28,139.28,"18,304,900"
"Oct 17, 2023",140.03,141.25,138.53,140.99,140.99,"17,424,000"
"Oct 16, 2023",139.73,140.90,139.32,140.49,140.49,"17,345,600"
"Oct 13, 2023",140.65,141.34,137.97,138.58,138.58,"19,438,700"
"Oct 12, 2023",142.16,142.38,139.45,140.29,140.29,"18,173,100"
"Oct 11, 2023",139.85,142.22,139.84,141.70,141.70,"20,146,300"
"Oct 10, 2023",139.51,140.74,138.43,139.20,139.20,"19,554,900"
"Oct 09, 2023",137.99,139.97,136.70,139.50,139.50,"16,599,100"
"Oct 06, 2023",134.94,139.19,134.94,138.73,138.73,"20,819,300"
"Oct 05, 2023",136.13,136.50,134.46,135.99,135.99,"15,922,900"
"Oct 04, 2023",133.66,136.57,133.43,136.27,136.27,"22,848,000"
"Oct 03, 2023",134.93,135.24,132.82,133.30,133.30,"19,628,700"
"Oct 02, 2023",132.15,135.36,132.07,135.17,135.17,"19,210,400"
"Sep 29, 2023",134.08,134.89,131.32,131.85,131.85,"23,224,200"
"Sep 28, 2023",130.69,134.18,130.69,133.13,133.13,"18,201,400"
"Sep 27, 2023",129.44,131.72,129.38,131.46,131.46,"18,764,200"
"Sep 26, 2023",130.91,131.40,128.19,129.45,129.45,"20,378,800"
"Sep 25, 2023",130.77,132.22,130.03,132.17,132.17,"14,650,000"
"Sep 22, 2023",131.68,133.01,130.51,131.25,131.25,"17,348,700"
"Sep 21, 2023",132.39,133.19,131.09,131.36,131.36,"22,042,700"
"Sep 20, 2023",138.83,138.84,134.52,134.59,134.59,"21,473,500"
"Sep 19, 2023",138.25,139.18,137.50,138.83,138.83,"15,479,100"
"Sep 18, 2023",137.63,139.93,137.63,138.96,138.96,"16,233,600"
"Sep 15, 2023",138.80,139.36,137.18,138.30,138.30,"48,947,600"
"Sep 14, 2023",138.39,139.55,137.06,138.99,138.99,"19,064,600"
"Sep 13, 2023",135.90,137.70,134.93,137.50,137.50,"16,394,900"
"Sep 12, 2023",137.13,137.64,135.93,136.07,136.07,"15,212,900"
"Sep 11, 2023",137.38,138.26,136.55,137.74,137.74,"17,180,800"
"Sep 08, 2023",135.87,137.51,135.87,137.20,137.20,"17,810,700"
"Sep 07, 2023",134.60,136.58,133.96,136.20,136.20,"16,976,000"
"Sep 06, 2023",137.01,137.48,134.69,135.37,135.37,"15,814,300"
"Sep 05, 2023",136.44,137.37,135.56,136.71,136.71,"17,730,200"
"Sep 01, 2023",138.43,138.58,135.94,136.80,136.80,"16,665,700"
"Aug 31, 2023",137.05,138.40,136.82,137.35,137.35,"28,147,900"
"Aug 30, 2023",135.57,137.25,135.02,136.93,136.93,"21,773,400"
"Aug 29, 2023",133.00,137.29,132.98,135.49,135.49,"30,803,300"
"Aug 28, 2023",132.08,133.24,130.85,131.79,131.79,"16,715,500"
"Aug 25, 2023",130.14,131.40,128.04,130.69,130.69,"20,678,100"
"Aug 24, 2023",134.73,134.97,130.30,130.42,130.42,"18,680,400"
"Aug 23, 2023",130.85,134.07,130.51,133.21,133.21,"26,497,000"
"Aug 22, 2023",129.13,130.95,128.93,129.69,129.69,"15,569,400"
"Aug 21, 2023",127.85,129.26,127.16,128.93,128.93,"21,851,100"
"Aug 18, 2023",129.06,129.83,127.00,128.11,128.11,"23,619,400"
"Aug 17, 2023",130.45,132.49,129.85,130.46,130.46,"23,665,600"
"Aug 16, 2023",129.28,130.90,128.46,129.11,129.11,"17,548,400"
"Aug 15, 2023",131.59,131.99,129.82,130.27,130.27,"14,769,200"
"Aug 14, 2023",129.85,131.91,129.59,131.83,131.83,"17,526,200"
"Aug 11, 2023",129.20,130.44,128.75,130.17,130.17,"15,191,500"
"Aug 10, 2023",131.97,132.65,130.04,130.21,130.21,"17,855,700"
"Aug 09, 2023",132.19,132.47,129.51,130.15,130.15,"17,745,200"
"Aug 08, 2023",130.98,131.94,130.13,131.84,131.84,"16,836,000"
"Aug 07, 2023",129.51,132.06,129.43,131.94,131.94,"17,621,000"
"Aug 04, 2023",129.60,131.93,128.32,128.54,128.54,"20,509,500"
"Aug 03, 2023",128.37,129.77,127.78,128.77,128.77,"15,018,100"
"Aug 02, 2023",129.84,130.42,127.85,128.64,128.64,"22,705,800"
"Aug 01, 2023",130.85,132.92,130.75,131.89,131.89,"22,154,300"
"Jul 31, 2023",133.01,133.83,132.13,133.11,133.11,"18,381,900"
"Jul 28, 2023",130.97,134.07,130.92,133.01,133.01,"26,971,000"
"Jul 27, 2023",131.80,133.60,129.18,129.87,129.87,"35,931,600"
"Jul 26, 2023",130.36,131.37,128.71,129.66,129.66,"46,216,900"
"Jul 25, 2023",121.88,123.69,121.53,122.79,122.79,"31,820,800"
"Jul 24, 2023",121.93,123.35,121.38,121.88,121.88,"22,276,100"
"Jul 21, 2023",120.87,121.30,119.07,120.31,120.31,"56,498,100"
"Jul 20, 2023",122.12,124.70,118.68,119.53,119.53,"27,541,700"
"Jul 19, 2023",124.79,125.47,122.47,122.78,122.78,"22,313,800"
"Jul 18, 2023",124.90,124.99,123.30,124.08,124.08,"21,071,200"
"Jul 17, 2023",126.06,127.28,124.50,125.06,125.06,"20,675,300"
"Jul 14, 2023",125.13,127.09,124.90,125.70,125.70,"20,482,800"
"Jul 13, 2023",121.54,125.33,121.06,124.83,124.83,"31,535,900"
"Jul 12, 2023",119.30,120.96,119.00,119.62,119.62,"22,059,600"
"Jul 11, 2023",116.76,118.22,115.83,117.71,117.71,"18,286,600"
"Jul 10, 2023",119.07,119.07,116.64,116.87,116.87,"32,960,100"
"Jul 07, 2023",120.89,121.75,120.09,120.14,120.14,"20,982,400"
"Jul 06, 2023",120.64,121.15,119.25,120.93,120.93,"17,732,500"
"Jul 05, 2023",120.06,123.37,120.06,122.63,122.63,"17,830,300"
"Jul 03, 2023",120.32,121.02,119.71,120.56,120.56,"13,888,300"
"Jun 30, 2023",121.10,122.03,120.88,120.97,120.97,"23,865,800"
"Jun 29, 2023",120.09,120.91,119.21,120.01,120.01,"18,517,500"
"Jun 28, 2023",117.96,121.27,117.60,121.08,121.08,"19,753,100"
"Jun 27, 2023",117.84,119.89,116.91,119.01,119.01,"27,221,700"
"Jun 26, 2023",121.47,122.72,118.99,119.09,119.09,"23,185,000"
"Jun 23, 2023",122.04,123.44,121.86,123.02,123.02,"29,542,900"
"Jun 22, 2023",120.66,123.93,119.60,123.87,123.87,"20,781,900"
"Jun 21, 2023",123.24,123.41,120.86,121.26,121.26,"22,612,000"
"Jun 20, 2023",123.54,125.18,122.83,123.85,123.85,"22,698,000"
"Jun 16, 2023",126.70,126.70,123.79,124.06,124.06,"56,686,800"
"Jun 15, 2023",123.88,126.16,123.14,125.79,125.79,"24,517,100"
"Jun 14, 2023",123.80,124.79,122.16,124.38,124.38,"24,659,600"
"Jun 13, 2023",125.65,125.86,123.85,124.43,124.43,"19,287,700"
"Jun 12, 2023",123.39,124.75,122.35,124.35,124.35,"22,255,700"
"Jun 09, 2023",122.56,124.29,122.42,122.87,122.87,"20,304,500"
"Jun 08, 2023",122.58,123.73,122.01,122.67,122.67,"24,815,000"
"Jun 07, 2023",127.57,129.55,122.63,122.94,122.94,"34,179,300"
"Jun 06, 2023",126.60,128.88,125.97,127.91,127.91,"19,450,100"
"Jun 05, 2023",124.61,127.99,124.38,126.63,126.63,"22,672,500"
"Jun 02, 2023",124.49,126.75,124.35,125.23,125.23,"19,362,400"
"Jun 01, 2023",123.50,125.04,123.30,124.37,124.37,"25,017,700"
"May 31, 2023",123.70,124.90,123.10,123.37,123.37,"41,548,800"
"May 30, 2023",126.29,126.38,122.89,124.64,124.64,"27,230,700"
"May 26, 2023",124.07,126.00,123.29,125.43,125.43,"25,154,700"
"May 25, 2023",125.21,125.98,122.90,124.35,124.35,"33,812,700"
"May 24, 2023",121.88,122.75,120.75,121.64,121.64,"23,087,900"
"May 23, 2023",124.93,125.42,123.05,123.29,123.29,"24,477,900"
"May 22, 2023",123.51,127.05,123.45,125.87,125.87,"29,760,200"
"May 19, 2023",124.20,126.48,122.72,123.25,123.25,"30,251,300"
"May 18, 2023",121.56,123.90,121.49,123.52,123.52,"27,014,500"
"May 17, 2023",120.18,122.28,119.46,121.48,121.48,"26,659,600"
"May 16, 2023",116.83,121.20,116.83,120.09,120.09,"32,370,100"
"May 15, 2023",116.49,118.79,116.48,116.96,116.96,"22,107,900"
"May 12, 2023",117.00,118.26,116.55,117.92,117.92,"31,272,500"
"May 11, 2023",115.86,118.44,114.93,116.90,116.90,"57,115,100"
"May 10, 2023",108.55,113.51,108.48,112.28,112.28,"47,533,500"
"May 09, 2023",108.78,110.60,107.72,107.94,107.94,"24,782,400"
"May 08, 2023",105.79,108.42,105.79,108.24,108.24,"17,266,000"
"May 05, 2023",105.32,106.44,104.74,106.21,106.21,"20,705,300"
"May 04, 2023",106.16,106.30,104.70,105.21,105.21,"19,780,600"
"May 03, 2023",106.22,108.13,105.62,106.12,106.12,"17,116,300"
"May 02, 2023",107.66,107.73,104.50,105.98,105.98,"20,343,100"
"May 01, 2023",107.72,108.68,107.50,107.71,107.71,"20,926,300"
"Apr 28, 2023",107.80,108.29,106.04,108.22,108.22,"23,957,900"
"Apr 27, 2023",105.23,109.15,104.42,108.37,108.37,"38,235,200"
"Apr 26, 2023",105.56,107.02,103.27,104.45,104.45,"37,068,200"
"Apr 25, 2023",106.61,107.44,104.56,104.61,104.61,"31,408,100"
"Apr 24, 2023",106.05,107.32,105.36,106.78,106.78,"21,410,900"
"Apr 21, 2023",106.09,106.64,105.49,105.91,105.91,"22,379,000"
"Apr 20, 2023",104.65,106.89,104.64,105.90,105.90,"22,515,300"
"Apr 19, 2023",104.21,105.72,103.80,105.02,105.02,"16,732,000"
"Apr 18, 2023",107.00,107.05,104.78,105.12,105.12,"17,641,400"
"Apr 17, 2023",105.43,106.71,105.32,106.42,106.42,"29,043,400"
"Apr 14, 2023",107.69,109.58,107.59,109.46,109.46,"20,758,700"
"Apr 13, 2023",106.47,108.26,106.44,108.19,108.19,"21,650,700"
"Apr 12, 2023",107.39,107.59,104.97,105.22,105.22,"22,761,600"
"Apr 11, 2023",106.92,107.22,105.28,106.12,106.12,"18,721,300"
"Apr 10, 2023",107.39,107.97,105.60,106.95,106.95,"19,741,500"
"Apr 06, 2023",105.77,109.63,104.82,108.90,108.90,"34,684,200"
"Apr 05, 2023",106.12,106.54,104.10,104.95,104.95,"21,864,200"
"Apr 04, 2023",104.84,106.10,104.60,105.12,105.12,"20,377,200"
"Apr 03, 2023",102.67,104.95,102.38,104.91,104.91,"20,719,900"
"Mar 31, 2023",101.71,104.19,101.44,104.00,104.00,"28,108,000"
"Mar 30, 2023",101.44,101.61,100.29,101.32,101.32,"25,009,800"
"Mar 29, 2023",102.72,102.82,101.03,101.90,101.90,"26,148,300"
"Mar 28, 2023",103.00,103.00,100.28,101.36,101.36,"24,913,500"
"Mar 27, 2023",105.32,105.40,102.63,103.06,103.06,"25,393,400"
"Mar 24, 2023",105.74,106.16,104.74,106.06,106.06,"25,236,200"
"Mar 23, 2023",105.89,107.10,105.41,106.26,106.26,"31,385,800"
"Mar 22, 2023",105.14,107.51,104.21,104.22,104.22,"32,336,900"
"Mar 21, 2023",101.98,105.96,101.86,105.84,105.84,"33,122,800"
"Mar 20, 2023",101.06,102.58,100.79,101.93,101.93,"26,033,900"
"Mar 17, 2023",100.84,103.49,100.75,102.46,102.46,"76,140,300"
"Mar 16, 2023",96.57,101.97,95.87,101.07,101.07,"54,499,500"
"Mar 15, 2023",93.54,97.25,93.04,96.55,96.55,"38,367,300"
"Mar 14, 2023",93.07,94.83,92.78,94.25,94.25,"32,303,900"
"Mar 13, 2023",90.57,93.08,89.94,91.66,91.66,"31,508,600"
"Mar 10, 2023",92.50,93.18,90.80,91.01,91.01,"32,850,100"
"Mar 09, 2023",94.49,95.92,92.36,92.66,92.66,"24,438,900"
"Mar 08, 2023",94.40,96.24,94.40,94.65,94.65,"25,395,200"
"Mar 07, 2023",95.42,96.09,93.84,94.17,94.17,"24,101,500"
"Mar 06, 2023",94.36,96.30,94.30,95.58,95.58,"28,288,200"
"Mar 03, 2023",92.74,94.11,92.66,94.02,94.02,"30,242,500"
"Mar 02, 2023",89.86,92.48,89.77,92.31,92.31,"23,328,600"
"Mar 01, 2023",90.16,91.20,89.85,90.51,90.51,"26,323,900"
"Feb 28, 2023",89.54,91.45,89.52,90.30,90.30,"30,546,900"
"Feb 27, 2023",90.09,90.45,89.61,90.10,90.10,"22,724,300"
"Feb 24, 2023",89.63,90.13,88.86,89.35,89.35,"31,295,600"
"Feb 23, 2023",92.13,92.13,90.01,91.07,91.07,"32,423,700"
"Feb 22, 2023",91.93,92.36,90.87,91.80,91.80,"29,891,100"
"Feb 21, 2023",93.24,93.42,92.00,92.05,92.05,"28,367,200"
