Date,Open,High,Low,Close,Adj. Close,Volume
"Dec 08, 2023",369.20,374.46,368.23,374.23,374.23,"20,144,800"
"Dec 07, 2023",368.23,371.45,366.32,370.95,370.95,"23,118,900"
"Dec 06, 2023",373.54,374.18,368.03,368.80,368.80,"21,182,100"
"Dec 05, 2023",366.45,373.08,365.62,372.52,372.52,"23,065,000"
"Dec 04, 2023",369.10,369.52,362.90,369.14,369.14,"32,063,300"
"Dec 01, 2023",376.76,378.16,371.31,374.51,374.51,"33,020,400"
"Nov 30, 2023",378.49,380.09,375.47,378.91,378.91,"30,554,400"
"Nov 29, 2023",383.76,384.30,377.44,378.85,378.85,"28,963,400"
"Nov 28, 2023",378.35,383.00,378.16,382.70,382.70,"20,453,100"
"Nov 27, 2023",376.78,380.64,376.20,378.61,378.61,"22,179,200"
"Nov 24, 2023",377.33,377.97,375.14,377.43,377.43,"10,176,600"
"Nov 22, 2023",378.00,379.79,374.97,377.85,377.85,"23,345,300"
"Nov 21, 2023",375.67,376.22,371.12,373.07,373.07,"28,423,100"
"Nov 20, 2023",371.22,378.87,371.00,377.44,377.44,"52,465,100"
"Nov 17, 2023",373.61,374.37,367.00,369.85,369.85,"40,157,000"
"Nov 16, 2023",370.96,376.35,370.18,376.17,376.17,"27,182,300"
"Nov 15, 2023",371.28,373.13,367.11,369.67,369.67,"26,860,100"
"Nov 15, 2023",0.75 Dividend,,,,,
"Nov 14, 2023",371.01,371.95,367.35,370.27,369.52,"27,683,900"
"Nov 13, 2023",368.22,368.47,365.90,366.68,365.94,"19,986,500"
"Nov 10, 2023",361.49,370.10,361.07,369.67,368.92,"28,042,100"
"Nov 09, 2023",362.30,364.79,360.36,360.69,359.96,"24,847,300"
"Nov 08, 2023",361.68,363.87,360.55,363.20,362.46,"26,767,800"
"Nov 07, 2023",359.40,362.46,357.63,360.53,359.80,"25,833,900"
"Nov 06, 2023",353.45,357.54,353.35,356.53,355.81,"23,828,300"
"Nov 03, 2023",349.63,354.39,347.33,352.80,352.09,"23,624,000"
"Nov 02, 2023",347.24,348.83,344.77,348.32,347.61,"24,348,100"
"Nov 01, 2023",339.79,347.42,339.65,346.07,345.37,"28,158,800"
"Oct 31, 2023",338.85,339.00,334.69,338.11,337.43,"20,265,300"
"Oct 30, 2023",333.41,339.45,331.83,337.31,336.63,"22,828,100"
"Oct 27, 2023",330.43,336.72,328.40,329.81,329.14,"29,856,500"
"Oct 26, 2023",340.54,341.63,326.94,327.89,327.23,"37,828,500"
"Oct 25, 2023",345.02,346.20,337.62,340.67,339.98,"55,053,800"
"Oct 24, 2023",331.30,331.84,327.60,330.53,329.86,"31,153,600"
"Oct 23, 2023",325.47,332.73,324.39,329.32,328.65,"24,374,700"
"Oct 20, 2023",331.72,331.92,325.45,326.67,326.01,"25,012,600"
"Oct 19, 2023",332.15,336.88,330.91,331.32,330.65,"25,052,100"
"Oct 18, 2023",332.49,335.59,328.30,330.11,329.44,"23,153,600"
"Oct 17, 2023",329.59,333.46,327.41,332.06,331.39,"18,338,500"
