Date,Open,High,Low,Close,Adj. Close,Volume
"Dec 08, 2023",240.27,245.27,239.27,243.84,243.84,"102,980,100"
"Dec 07, 2023",241.55,244.08,236.98,242.64,242.64,"107,142,300"
"Dec 06, 2023",242.92,246.57,239.17,239.37,239.37,"126,436,200"
"Dec 05, 2023",233.87,246.66,233.70,238.72,238.72,"137,971,100"
"Dec 04, 2023",235.75,239.37,233.29,235.58,235.58,"104,099,800"
"Dec 01, 2023",233.14,240.19,231.90,238.83,238.83,"121,173,500"
"Nov 30, 2023",245.14,245.22,236.91,240.08,240.08,"132,353,200"
"Nov 29, 2023",249.21,252.75,242.76,244.14,244.14,"135,401,300"
"Nov 28, 2023",236.68,247.00,234.01,246.72,246.72,"148,549,900"
"Nov 27, 2023",236.89,238.33,232.10,236.08,236.08,"112,031,800"
"Nov 24, 2023",233.75,238.75,232.33,235.45,235.45,"65,125,200"
"Nov 22, 2023",242.04,244.01,231.40,234.21,234.21,"117,950,600"
"Nov 21, 2023",235.04,243.62,233.34,241.20,241.20,"122,288,000"
"Nov 20, 2023",234.04,237.10,231.02,235.60,235.60,"116,320,100"
"Nov 17, 2023",232.00,237.39,226.54,234.30,234.30,"142,532,800"
"Nov 16, 2023",239.49,240.88,230.96,233.59,233.59,"136,816,800"
"Nov 15, 2023",239.29,246.70,236.45,242.84,242.84,"150,354,000"
"Nov 14, 2023",235.03,238.14,230.72,237.41,237.41,"149,771,600"
"Nov 13, 2023",215.60,225.40,211.61,223.71,223.71,"140,447,600"
"Nov 10, 2023",210.03,215.38,205.69,214.65,214.65,"130,994,000"
"Nov 09, 2023",219.75,220.80,206.68,209.98,209.98,"142,110,500"
"Nov 08, 2023",223.15,224.15,217.64,222.11,222.11,"106,584,800"
"Nov 07, 2023",219.98,223.12,215.72,222.18,222.18,"116,900,100"
"Nov 06, 2023",223.98,226.32,215.00,219.27,219.27,"117,335,800"
"Nov 03, 2023",221.15,226.37,218.40,219.96,219.96,"119,281,000"
"Nov 02, 2023",212.97,219.20,211.45,218.51,218.51,"125,987,600"
"Nov 01, 2023",204.04,205.99,197.85,205.66,205.66,"121,661,700"
"Oct 31, 2023",196.12,202.80,194.07,200.84,200.84,"118,068,300"
"Oct 30, 2023",209.28,210.88,194.67,197.36,197.36,"136,448,200"
"Oct 27, 2023",210.60,212.41,205.77,207.30,207.30,"94,881,200"
"Oct 26, 2023",211.32,214.80,204.88,205.76,205.76,"115,112,600"
"Oct 25, 2023",215.88,220.10,212.20,212.42,212.42,"107,065,100"
"Oct 24, 2023",216.50,222.05,214.11,216.52,216.52,"118,231,100"
"Oct 23, 2023",210.00,216.98,202.51,212.08,212.08,"150,683,400"
"Oct 20, 2023",217.01,218.86,210.42,211.99,211.99,"137,734,000"
"Oct 19, 2023",225.95,230.61,216.78,220.11,220.11,"170,772,700"
